id,WT_Veh1,WT_Veh2,WT_Veh3,WT_E2-1,WT_E2-2,WT_E2-3,baseMean
OR2T8,0,0,0,0,0,0,0
UGT8,0.229407,0.238499,0.281473,0.228053,0.221605,0.27987,0.2464845
TMED10,81.908,81.2572,79.5412,85.1333,85.9839,92.1177,84.32355
FAAH2,2.68597,2.60106,2.6221,2.47407,2.46993,2.59846,2.575265
PTF1A,0,0,0,0,0,0,0
KCNH7,0.00587154,0.0109174,0.0539097,0.0118731,0.0349658,0.0255832,0.023853457
KANSL1L,3.39926,3.53737,4.04608,3.14093,3.07168,3.2572,3.408753333
MAGEC3,0.0513622,0.0544506,0.057479,0.0874298,0.0239661,0.0318982,0.05109765
PRKAG2,5.7473,5.65476,5.60434,5.5253,5.6062,6.26391,5.733635
ZSCAN29,7.44777,7.48847,7.02321,8.55271,7.29644,7.27909,7.514615
PACSIN1,4.35077,3.81443,4.21309,3.19963,3.16227,3.20116,3.656891667
FHL3,1.76783,2.02608,1.68998,2.09327,1.73041,1.93868,1.874375
PAPOLB,0.0056558,0,0.0111139,0.0171546,0,0.0140503,0.007995767
DEFB136,0,0,0,0,0,0,0
NDUFA1,83.5691,95.2048,90.7208,96.2293,100.85,91.9801,93.09235
FOLR2,0,0,0,0,0,0,0
ZNF775,0.833329,1.11578,0.708984,0.875325,1.04869,1.00276,0.930811333
TFF3,22.4924,14.7813,16.7613,18.3037,19.6784,16.4611,18.0797
LINGO3,0.0119241,0.0252845,0.014771,0.0844023,0.134975,0.0444387,0.0526326
DUX4L5,0,0,0,0,0,0,0
RIPPLY2,0,0,0,0,0,0,0
PNPLA1,0.0647536,0.0928878,0.045744,0.0436448,0.0989903,0.0134036,0.059904017
PANX3,0.34558,0.18318,0.185203,0.158815,0.213338,0.429251,0.252561167
TPRX1,0,0.0184324,0,0,0,0,0.003072067
TUBB8,2.33386,2.30966,2.93408,2.57094,2.28267,2.53795,2.49486
GTPBP3,6.9987,7.28442,8.31016,8.82468,9.05997,9.02993,8.25131
DDRGK1,26.9782,25.635,28.1562,24.3576,27.3472,24.3363,26.13508333
RNASEH2B,6.92209,7.41391,6.04896,6.84976,7.07562,7.34778,6.94302
UMOD,0,0,0,0,0,0,0
OR2AJ1,0,0,0,0,0,0,0
TRPC4AP,29.5207,28.2231,30.2783,27.672,25.9045,27.145,28.12393333
CLIC1,320.743,323.616,337.708,308.886,291.244,292.534,312.4551667
TMEM82,0,0,0,0,0,0,0
PRED57,0,0,0,0,0,0,0
C5orf63,8.66109,7.95545,11.3109,8.44041,7.98481,9.42409,8.962791667
TNPO2,34.7965,30.7563,29.5526,36.005,31.6368,31.6362,32.39723333
AL121895.1,0,0,0,0,0,0,0
RGS8,0,0.0682904,0,0,0.0465147,0,0.019134183
