ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000011376,734.7078821,0.265648754,0.074359076,3.572512836,0.000353572,0.001069141
ENSG00000011405,1502.513024,0.227720459,0.046093865,4.940363702,7.80E-07,3.22E-06
ENSG00000011422,154.889404,0.614907869,0.10639842,5.779295126,7.50E-09,3.78E-08
ENSG00000011426,5027.423393,0.631860989,0.040285121,15.68472371,1.92E-55,6.42E-54
ENSG00000011451,474.257292,0.134936437,0.078998089,1.708097478,0.087618257,0.160476057
ENSG00000011454,1903.087131,-0.300097452,0.044703322,-6.713090629,1.91E-11,1.16E-10
ENSG00000011478,394.2425481,0.386308436,0.079939324,4.832520704,1.35E-06,5.43E-06
ENSG00000011485,1371.58069,0.192910299,0.054102159,3.565667288,0.000362932,0.001094866
ENSG00000011523,420.3569375,0.392720771,0.080434045,4.882519237,1.05E-06,4.26E-06
ENSG00000011566,992.4546738,0.082967992,0.055498849,1.49494979,0.134927546,0.231685912
ENSG00000011590,70.90302146,-0.044588689,0.165052458,-0.270148593,0.787045939,0.863947753
ENSG00000011638,1085.573123,-0.303651065,0.056021901,-5.420220637,5.95E-08,2.75E-07
ENSG00000012048,2270.170278,0.517204423,0.043527176,11.88233354,1.46E-32,2.50E-31
ENSG00000012061,534.6257299,-0.267945971,0.067417584,-3.974422626,7.06E-05,0.000234896
ENSG00000012124,14.66366408,1.318816791,0.263306818,5.008669366,5.48E-07,2.30E-06
ENSG00000012171,711.4950754,2.518131694,0.084054602,29.95828481,3.43E-197,7.75E-195
ENSG00000012174,237.096061,0.169811279,0.097530015,1.741118155,0.08166287,0.151103135
ENSG00000012211,110.6618287,0.518633401,0.137672894,3.767142439,0.000165127,0.000523008
ENSG00000012232,441.2313074,0.0589106,0.062571303,0.941495488,0.346451001,0.489666308
ENSG00000012660,2785.465954,1.461917963,0.059826373,24.43601197,7.09E-132,8.23E-130
ENSG00000012822,587.4638479,-1.256561118,0.092826288,-13.53669461,9.50E-42,2.20E-40
ENSG00000012963,1267.681308,-0.30164933,0.071967335,-4.191475621,2.77E-05,9.67E-05
ENSG00000012983,1658.893102,0.378630763,0.040041428,9.455975491,3.20E-21,3.53E-20
ENSG00000013016,291.9192996,-0.363985026,0.084963888,-4.283996798,1.84E-05,6.53E-05
ENSG00000013275,1773.868729,0.282452861,0.064645635,4.369248802,1.25E-05,4.51E-05
ENSG00000013288,599.7309063,-0.478790575,0.061310333,-7.80929665,5.75E-15,4.44E-14
ENSG00000013293,28.68250979,0.141939509,0.203668258,0.69691522,0.485855852,0.626550886
ENSG00000013297,46.05751308,0.132162231,0.198885727,0.664513398,0.506361776,0.645559454
ENSG00000013306,5387.770001,0.26718675,0.038103027,7.012218528,2.35E-12,1.53E-11
ENSG00000013364,413.6748301,-1.183331214,0.071940444,-16.44876158,8.56E-61,3.25E-59
ENSG00000013374,1250.063503,-0.144778415,0.047909615,-3.02190728,0.002511875,0.006588624
ENSG00000013375,953.346278,0.032676324,0.051622498,0.632986112,0.526742712,0.663316392
ENSG00000013392,157.8808728,-0.426337545,0.124421808,-3.42654998,0.000611301,0.001777113
ENSG00000013441,1296.679507,-0.33721057,0.083525911,-4.03719715,5.41E-05,0.000182613
ENSG00000013503,667.3300952,0.106502241,0.067682356,1.573559903,0.115589229,0.203354353
ENSG00000013523,505.5695243,0.218650506,0.067697739,3.229805127,0.001238746,0.003432725
ENSG00000013561,1079.034824,-0.205918384,0.065268218,-3.154956416,0.001605221,0.004373408
ENSG00000013563,652.2727519,-0.254777862,0.061817937,-4.121422933,3.77E-05,0.000129626
ENSG00000013573,2266.742258,0.349949859,0.09700577,3.607515927,0.000309143,0.000942837
ENSG00000013583,106.8911581,-0.919089147,0.122734614,-7.488426601,6.97E-14,5.04E-13
ENSG00000013588,248.3276331,-1.850474152,0.089064917,-20.77668978,7.03E-96,5.13E-94
ENSG00000013725,18.89322005,0.011995773,0.24720897,0.048524829,0.961297977,0.977414694
ENSG00000013810,1839.5642,0.926347864,0.04595966,20.15567251,2.40E-90,1.59E-88
ENSG00000014123,855.043172,-0.242456761,0.067844472,-3.573714334,0.000351953,0.001064558
ENSG00000014138,804.7179362,0.428360137,0.049062274,8.730947492,2.53E-18,2.37E-17
ENSG00000014164,173.1623429,-0.085561092,0.093789715,-0.91226518,0.361629139,0.505317303
ENSG00000014216,2835.608639,-0.57512105,0.068429726,-8.404549972,4.30E-17,3.78E-16
ENSG00000014257,94.45967661,-0.614532266,0.154485082,-3.977939208,6.95E-05,0.000231781
ENSG00000014641,2728.275266,0.226757936,0.058555015,3.872562152,0.000107697,0.000349676
ENSG00000014824,1588.942741,-0.194804598,0.05875922,-3.315302619,0.00091544,0.002587369
ENSG00000014914,630.8949199,-0.075292491,0.089648147,-0.839866671,0.400983146,0.545586533
ENSG00000014919,1250.534755,-0.073838654,0.056331809,-1.310780807,0.189931829,0.306596142
ENSG00000015133,680.3349816,0.091681331,0.063764675,1.437807532,0.150488672,0.253452658
ENSG00000015153,531.011907,0.096499745,0.059933807,1.610105394,0.10737485,0.191027997
ENSG00000015171,3348.153905,0.018347726,0.050227516,0.365292321,0.71489321,0.813724366
ENSG00000015285,17.26257799,-0.380637799,0.24621659,-1.545947004,0.122117367,0.213088691
ENSG00000015475,1010.784349,0.47051797,0.060991268,7.714513618,1.21E-14,9.19E-14
ENSG00000015479,9634.250505,0.085370426,0.050969269,1.674939197,0.093946162,0.170155858
ENSG00000015532,803.6942691,0.360618612,0.05524086,6.528113676,6.66E-11,3.93E-10
ENSG00000015568,244.4527467,0.179222674,0.290081905,0.617834727,0.53668429,0.671755177
ENSG00000015676,1334.547973,-0.107781698,0.057410915,-1.877372952,0.060466996,0.116341911
ENSG00000016391,761.7536896,0.183959561,0.053352089,3.448029185,0.000564693,0.001650721
ENSG00000016402,67.51649014,0.369827314,0.172413619,2.145000591,0.0319528,0.066665071
ENSG00000016864,652.5946368,-0.124510184,0.057592171,-2.161928979,0.030623651,0.06423749
ENSG00000017260,1545.402248,0.019145982,0.059828299,0.320015478,0.748956597,0.837474093
ENSG00000017797,3584.557136,0.045177147,0.049246033,0.917376382,0.358945444,0.502557845
ENSG00000018189,428.7176132,0.416188256,0.0654534,6.35854297,2.04E-10,1.16E-09
ENSG00000018236,14.9290707,-0.074223633,0.280254786,-0.26484341,0.791130094,0.866580191
ENSG00000018280,59.9273518,-0.392478152,0.163018528,-2.407567753,0.016059182,0.03602528
ENSG00000018408,229.8075426,-0.608766236,0.103626169,-5.874638048,4.24E-09,2.18E-08
ENSG00000018610,791.1180622,-0.067197698,0.069291686,-0.96978009,0.332156119,0.474584589
ENSG00000018699,761.4505996,0.489800521,0.064524285,7.590948413,3.18E-14,2.34E-13
ENSG00000019144,626.5676215,0.612043156,0.060258768,10.1569146,3.09E-24,3.83E-23
ENSG00000019186,93.797568,1.070586202,0.207450085,5.160693006,2.46E-07,1.08E-06
ENSG00000019485,125.386759,-0.005429684,0.126337247,-0.042977695,0.965719314,0.979592921
